driver_age,vehicle_value,vehicle_age,annual_mileage,region,driving_experience,claim_count,claim_cost,pure_premium
48,25546.49,15,35805,west,30,0,0.0,0.0
31,38831.94,6,37199,central,13,1,1866.55,1866.55
39,10857.74,19,30942,central,21,0,0.0,0.0
23,72306.99,3,12826,north,5,1,1130.03,1130.03
39,10209.98,4,45943,central,21,0,0.0,0.0
38,37666.22,15,41274,west,20,0,0.0,0.0
62,18541.77,17,5074,east,44,0,0.0,0.0
40,21252.01,2,36452,east,22,0,0.0,0.0
31,21973.5,16,30031,east,13,0,0.0,0.0
48,23783.47,5,38194,north,30,0,0.0,0.0
37,17640.43,15,22621,south,19,0,0.0,0.0
50,23759.05,13,49963,south,32,0,0.0,0.0
40,6126.41,7,31175,east,22,0,0.0,0.0
45,7545.04,18,30524,central,27,0,0.0,0.0
37,26173.68,3,26431,north,19,0,0.0,0.0
41,10340.53,13,5182,south,23,0,0.0,0.0
39,11362.5,16,30761,central,21,0,0.0,0.0
51,33923.71,2,9624,north,33,0,0.0,0.0
25,27903.51,1,33969,north,7,0,0.0,0.0
40,24509.53,1,39021,central,22,1,995.05,995.05
42,14141.81,14,33979,north,24,0,0.0,0.0
65,19706.72,14,7840,east,47,0,0.0,0.0
54,20150.79,10,46055,east,36,0,0.0,0.0
36,10542.13,7,31734,central,18,0,0.0,0.0
66,32731.09,12,15570,west,48,2,417.51,835.02
44,44380.48,10,15387,north,26,0,0.0,0.0
54,7767.21,5,27505,central,36,0,0.0,0.0
55,19055.73,13,41930,north,37,0,0.0,0.0
67,13553.82,14,11057,west,49,0,0.0,0.0
45,24092.38,7,15627,east,27,0,0.0,0.0
61,14921.56,6,20872,west,43,0,0.0,0.0
32,38937.63,13,34734,central,14,0,0.0,0.0
60,27219.71,18,35072,west,42,1,293.39,293.39
49,50625.13,1,23861,west,31,1,1325.53,1325.53
45,11109.86,17,6560,south,27,0,0.0,0.0
37,7457.98,11,34029,east,19,0,0.0,0.0
63,24210.61,9,17671,south,45,0,0.0,0.0
46,36494.98,15,17523,central,28,0,0.0,0.0
46,14784.67,3,37600,south,28,1,524.43,524.43
42,13151.79,4,23152,north,24,0,0.0,0.0
21,14287.86,3,37567,west,3,0,0.0,0.0
59,43917.57,14,42224,north,41,1,255.55,255.55
30,7143.56,15,43060,west,12,0,0.0,0.0
60,18489.05,10,26927,central,42,0,0.0,0.0
57,24354.17,3,28819,north,39,0,0.0,0.0
45,15735.56,15,14605,south,27,0,0.0,0.0
28,12633.59,19,12182,west,10,0,0.0,0.0
26,6074.43,1,35947,west,8,1,46.63,46.63
45,19647.82,3,49838,north,27,0,0.0,0.0
43,20145.8,6,43540,west,25,0,0.0,0.0
24,21472.77,10,35634,west,6,2,581.84,1163.68
42,10101.29,4,12576,west,24,0,0.0,0.0
25,17481.78,10,23898,west,7,2,507.79,1015.58
33,19583.8,8,24902,south,15,0,0.0,0.0
46,15746.25,4,35018,east,28,0,0.0,0.0
24,8116.0,17,15305,central,6,0,0.0,0.0
30,25849.78,10,38289,east,12,0,0.0,0.0
37,21402.69,13,30040,central,19,0,0.0,0.0
49,25866.76,17,11607,west,31,0,0.0,0.0
42,45892.17,18,19818,north,24,0,0.0,0.0
28,11066.0,18,36360,east,10,0,0.0,0.0
41,13134.72,16,7219,west,23,0,0.0,0.0
46,6206.19,5,40616,west,28,0,0.0,0.0
31,15229.56,2,42606,south,13,0,0.0,0.0
42,15816.79,3,36389,south,24,0,0.0,0.0
65,26974.03,13,28418,east,47,0,0.0,0.0
30,12573.73,4,6990,west,12,0,0.0,0.0
55,46026.52,6,33295,east,37,0,0.0,0.0
68,55206.23,15,13862,west,50,1,2099.15,2099.15
31,11533.51,1,9700,central,13,0,0.0,0.0
31,20134.7,6,44795,east,13,0,0.0,0.0
57,10986.0,13,6396,central,39,0,0.0,0.0
33,8565.03,3,36876,east,15,0,0.0,0.0
28,18621.39,15,43895,east,10,0,0.0,0.0
31,18176.41,10,24562,north,13,0,0.0,0.0
62,32274.86,5,20075,east,44,1,228.97,228.97
27,15489.89,16,38832,north,9,1,701.2,701.2
24,14522.12,12,9395,central,6,0,0.0,0.0
39,19340.42,17,14022,central,21,0,0.0,0.0
63,22468.09,17,19263,west,45,1,332.56,332.56
47,34472.56,14,28628,west,29,0,0.0,0.0
46,29193.27,8,14822,south,28,0,0.0,0.0
68,26072.55,8,40884,central,50,0,0.0,0.0
33,30141.94,8,11168,west,15,0,0.0,0.0
47,16651.66,8,21319,west,29,0,0.0,0.0
30,22446.4,11,15965,west,12,0,0.0,0.0
43,11374.51,13,17194,south,25,0,0.0,0.0
50,17602.37,16,40772,west,32,0,0.0,0.0
45,11759.28,19,33393,east,27,1,765.98,765.98
46,13117.69,18,22703,east,28,0,0.0,0.0
31,16047.91,3,25803,south,13,0,0.0,0.0
29,12911.48,20,24560,south,11,1,342.06,342.06
29,11486.55,17,15471,central,11,0,0.0,0.0
66,19817.85,20,6796,central,48,0,0.0,0.0
35,33407.04,7,49529,south,17,0,0.0,0.0
32,21128.47,6,25173,central,14,0,0.0,0.0
54,16045.18,12,5603,north,36,0,0.0,0.0
35,14818.79,2,39403,south,17,0,0.0,0.0
36,19135.92,10,48357,south,18,0,0.0,0.0
38,30645.82,8,46330,east,20,0,0.0,0.0
44,31288.03,14,28610,west,26,0,0.0,0.0
53,17937.43,4,29626,north,35,0,0.0,0.0
31,4590.54,18,36284,central,13,0,0.0,0.0
65,17698.47,12,10587,central,47,0,0.0,0.0
48,50337.99,2,45566,west,30,0,0.0,0.0
35,11815.15,4,9161,north,17,0,0.0,0.0
62,23416.75,13,14757,north,44,0,0.0,0.0
57,12774.44,17,47064,south,39,0,0.0,0.0
54,20444.18,1,22875,west,36,0,0.0,0.0
74,21423.65,11,39122,central,56,0,0.0,0.0
58,8342.05,16,26696,central,40,0,0.0,0.0
47,19869.32,2,18181,east,29,0,0.0,0.0
56,46424.8,1,5596,north,38,0,0.0,0.0
59,20258.81,6,47910,east,41,0,0.0,0.0
22,19062.98,13,46648,south,4,0,0.0,0.0
23,10774.19,18,40565,central,5,0,0.0,0.0
28,16797.77,20,7826,west,10,0,0.0,0.0
54,17693.27,10,31680,east,36,0,0.0,0.0
36,11688.53,17,32283,central,18,0,0.0,0.0
25,25612.51,10,22550,central,7,0,0.0,0.0
34,14196.08,2,43640,west,16,0,0.0,0.0
45,19275.34,2,22990,central,27,0,0.0,0.0
52,24120.25,2,5877,north,34,0,0.0,0.0
32,31288.02,3,24540,west,14,0,0.0,0.0
48,24160.55,1,39279,central,30,0,0.0,0.0
47,31555.07,2,31299,east,29,0,0.0,0.0
67,11339.97,16,41448,west,49,1,2043.48,2043.48
44,12994.8,16,37735,west,26,0,0.0,0.0
77,21189.33,11,29208,west,59,1,876.39,876.39
39,17096.39,18,18421,central,21,0,0.0,0.0
37,22329.45,16,48832,central,19,0,0.0,0.0
53,14258.77,17,36971,south,35,1,165.22,165.22
61,23394.57,16,10733,central,43,0,0.0,0.0
28,26973.63,11,13534,central,10,0,0.0,0.0
32,12607.25,10,12510,east,14,0,0.0,0.0
44,17419.84,1,15022,north,26,0,0.0,0.0
52,32713.56,9,24390,north,34,1,1887.01,1887.01
27,17127.29,11,46404,central,9,0,0.0,0.0
44,11328.33,7,24954,south,26,0,0.0,0.0
64,18027.34,5,43372,west,46,0,0.0,0.0
45,4657.1,1,47086,north,27,0,0.0,0.0
48,19098.35,15,48403,south,30,1,300.75,300.75
74,48578.22,3,10371,north,56,1,1614.01,1614.01
50,30606.91,10,13370,north,32,0,0.0,0.0
54,25369.76,7,11889,south,36,0,0.0,0.0
62,32284.33,12,18082,north,44,0,0.0,0.0
51,17945.06,3,16319,west,33,0,0.0,0.0
40,20470.61,11,17830,south,22,0,0.0,0.0
53,19529.06,8,10563,east,35,0,0.0,0.0
47,43939.77,11,40700,north,29,0,0.0,0.0
43,52790.69,3,13021,south,25,0,0.0,0.0
55,40883.7,4,19925,west,37,0,0.0,0.0
22,7476.28,17,5371,central,4,2,459.09,918.18
45,12022.4,16,38797,central,27,0,0.0,0.0
46,19584.94,9,19757,central,28,0,0.0,0.0
44,16618.66,10,17079,west,26,0,0.0,0.0
39,22599.05,17,19764,east,21,0,0.0,0.0
39,15628.77,10,24014,east,21,0,0.0,0.0
32,46641.1,1,38253,east,14,0,0.0,0.0
48,7063.94,2,6386,west,30,0,0.0,0.0
39,12510.2,18,36432,east,21,0,0.0,0.0
22,12800.8,17,44091,south,4,3,1227.02,3681.06
57,28298.14,16,33621,east,39,1,1258.78,1258.78
55,14199.87,20,9147,north,37,1,74.95,74.95
46,30605.87,2,42015,north,28,0,0.0,0.0
36,15322.54,5,25702,central,18,1,404.39,404.39
50,14627.85,14,48501,north,32,1,428.89,428.89
43,9508.1,5,26480,north,25,0,0.0,0.0
30,9075.87,1,19852,south,12,0,0.0,0.0
36,14619.52,13,45700,south,18,1,1024.91,1024.91
30,18590.21,6,30315,west,12,0,0.0,0.0
39,9813.87,8,39044,west,21,0,0.0,0.0
33,35261.58,7,49148,west,15,0,0.0,0.0
61,20352.06,19,34414,east,43,0,0.0,0.0
39,17125.89,4,24503,west,21,1,557.29,557.29
24,44520.76,9,25474,north,6,0,0.0,0.0
47,30405.54,10,28688,south,29,0,0.0,0.0
51,8010.54,8,40685,north,33,0,0.0,0.0
56,15801.11,17,23495,north,38,0,0.0,0.0
31,14380.79,19,14335,north,13,3,377.66,1132.98
45,12169.84,11,23370,central,27,0,0.0,0.0
25,31472.31,14,11441,north,7,0,0.0,0.0
22,43599.22,7,8728,west,4,1,528.96,528.96
48,22972.83,19,36019,north,30,1,432.63,432.63
38,26456.26,2,34030,south,20,1,3077.18,3077.18
66,82073.94,14,31560,south,48,0,0.0,0.0
33,12846.2,6,24452,north,15,1,91.14,91.14
44,18054.94,4,40268,south,26,1,1007.95,1007.95
48,10629.89,19,29477,west,30,0,0.0,0.0
33,41125.44,10,33556,east,15,0,0.0,0.0
45,19818.17,8,27777,central,27,0,0.0,0.0
36,23030.56,10,10189,south,18,0,0.0,0.0
53,21650.76,20,14982,central,35,0,0.0,0.0
42,10780.66,8,32199,north,24,1,775.68,775.68
32,18498.08,18,39997,south,14,0,0.0,0.0
36,20379.26,5,26812,west,18,0,0.0,0.0
33,19959.77,15,9752,south,15,1,1098.96,1098.96
32,12996.34,10,18502,south,14,1,97.79,97.79
42,6303.25,9,18021,north,24,0,0.0,0.0
40,12196.12,19,34333,east,22,0,0.0,0.0
32,36781.18,11,26008,south,14,0,0.0,0.0
49,13849.99,7,8491,south,31,0,0.0,0.0
41,21307.17,15,28247,east,23,0,0.0,0.0
37,13954.77,9,9593,east,19,0,0.0,0.0
37,24362.72,8,8036,south,19,0,0.0,0.0
33,16547.84,6,43364,west,15,0,0.0,0.0
61,12495.01,18,20990,north,43,0,0.0,0.0
64,20651.85,2,11924,east,46,0,0.0,0.0
58,14216.61,17,46721,south,40,0,0.0,0.0
66,20764.13,18,39954,east,48,1,528.27,528.27
39,25887.16,1,12348,west,21,0,0.0,0.0
50,41653.36,7,29171,south,32,0,0.0,0.0
22,14180.93,2,45003,west,4,1,238.52,238.52
48,16876.58,17,10114,north,30,0,0.0,0.0
43,17925.59,5,14374,west,25,0,0.0,0.0
23,13394.35,16,13162,east,5,1,273.21,273.21
39,23231.65,8,33001,central,21,0,0.0,0.0
68,5976.61,6,42555,west,50,0,0.0,0.0
31,26989.84,11,21455,central,13,0,0.0,0.0
57,28824.7,16,5997,east,39,0,0.0,0.0
31,13992.07,19,9648,east,13,1,329.18,329.18
62,14062.7,9,9433,west,44,0,0.0,0.0
43,15496.6,7,8497,north,25,0,0.0,0.0
34,31088.7,18,33837,west,16,1,1380.67,1380.67
67,8631.2,2,38472,south,49,0,0.0,0.0
31,14915.14,8,25231,south,13,0,0.0,0.0
43,6929.35,9,12368,west,25,0,0.0,0.0
56,14047.64,14,35982,north,38,0,0.0,0.0
25,10425.83,13,16840,west,7,0,0.0,0.0
22,13776.68,11,38205,north,4,0,0.0,0.0
45,24474.4,8,20151,north,27,0,0.0,0.0
39,17594.85,11,37658,north,21,0,0.0,0.0
34,19548.14,19,5428,south,16,1,15.76,15.76
59,17540.04,9,35228,north,41,0,0.0,0.0
64,30174.67,19,14018,east,46,0,0.0,0.0
46,19064.72,16,25409,central,28,0,0.0,0.0
54,28454.46,1,8928,west,36,0,0.0,0.0
44,8284.12,16,9058,central,26,0,0.0,0.0
51,15120.53,16,25825,south,33,2,415.07,830.14
39,19837.22,19,22493,east,21,0,0.0,0.0
45,18803.27,1,41806,south,27,0,0.0,0.0
32,15498.16,10,15590,east,14,0,0.0,0.0
44,10037.95,17,22456,central,26,0,0.0,0.0
26,12874.15,19,20550,south,8,0,0.0,0.0
39,5221.81,6,12866,east,21,0,0.0,0.0
28,12241.52,4,48547,east,10,0,0.0,0.0
34,29764.61,5,44823,north,16,0,0.0,0.0
51,31617.6,4,31450,south,33,0,0.0,0.0
47,26601.41,17,21860,north,29,0,0.0,0.0
47,66101.2,6,39360,north,29,0,0.0,0.0
20,36410.02,13,38859,south,2,1,2093.97,2093.97
21,15113.21,9,45068,central,3,0,0.0,0.0
41,9457.66,16,9983,south,23,0,0.0,0.0
39,33304.44,18,9033,north,21,0,0.0,0.0
58,18504.4,19,17157,east,40,1,994.03,994.03
32,24115.65,3,6789,south,14,0,0.0,0.0
25,22043.46,5,9783,north,7,0,0.0,0.0
53,13576.39,20,9091,north,35,0,0.0,0.0
40,25175.91,17,14806,north,22,0,0.0,0.0
77,20650.89,11,11114,south,59,1,791.85,791.85
67,5712.06,8,33980,east,49,1,176.55,176.55
43,8552.32,4,14087,south,25,0,0.0,0.0
36,39141.02,17,46318,central,18,0,0.0,0.0
54,24931.53,9,25957,east,36,1,1438.67,1438.67
42,18201.91,20,31040,west,24,0,0.0,0.0
35,20038.04,10,19901,west,17,0,0.0,0.0
67,23541.58,17,16783,north,49,1,2858.08,2858.08
27,14004.62,15,7366,west,9,0,0.0,0.0
58,11247.76,10,34512,central,40,0,0.0,0.0
44,13881.59,17,48213,south,26,0,0.0,0.0
32,17584.59,1,26916,north,14,0,0.0,0.0
36,44298.8,11,48951,east,18,0,0.0,0.0
48,31327.23,9,47551,west,30,0,0.0,0.0
53,16078.57,4,34335,south,35,0,0.0,0.0
52,4825.34,3,49178,east,34,0,0.0,0.0
40,19815.81,10,14351,west,22,0,0.0,0.0
37,28294.0,6,18601,east,19,0,0.0,0.0
46,14766.53,13,12712,north,28,1,1161.0,1161.0
25,16056.84,12,11038,south,7,0,0.0,0.0
48,32972.1,3,23140,east,30,1,1036.45,1036.45
28,13072.42,11,30986,central,10,0,0.0,0.0
33,25570.0,18,30139,north,15,1,1419.16,1419.16
64,12657.47,11,36900,central,46,0,0.0,0.0
35,7036.09,4,37009,central,17,2,457.82,915.64
40,15560.7,11,17850,central,22,0,0.0,0.0
31,26271.86,9,20478,north,13,0,0.0,0.0
33,13255.36,6,45692,east,15,0,0.0,0.0
55,13424.94,11,18815,west,37,0,0.0,0.0
41,12287.27,17,45982,south,23,0,0.0,0.0
32,10319.14,9,15418,south,14,0,0.0,0.0
50,7935.01,11,41358,east,32,0,0.0,0.0
57,21172.9,7,28163,west,39,0,0.0,0.0
28,11118.1,3,35792,central,10,1,413.27,413.27
39,17449.96,7,11963,south,21,0,0.0,0.0
65,13221.06,19,21747,west,47,0,0.0,0.0
42,10604.53,11,46184,west,24,0,0.0,0.0
25,14404.09,9,46248,central,7,0,0.0,0.0
32,15058.13,2,9700,south,14,0,0.0,0.0
51,19540.21,4,20247,south,33,0,0.0,0.0
22,10416.43,5,41080,central,4,0,0.0,0.0
66,35119.95,4,43777,east,48,0,0.0,0.0
59,13939.16,19,12433,central,41,0,0.0,0.0
53,25941.73,14,39719,central,35,0,0.0,0.0
33,13266.93,15,15343,east,15,0,0.0,0.0
42,28326.06,2,30935,south,24,1,759.53,759.53
49,23701.45,10,28139,east,31,1,118.76,118.76
36,10837.61,6,7642,south,18,0,0.0,0.0
63,22316.58,18,9386,south,45,0,0.0,0.0
39,11936.28,20,12272,east,21,1,1435.27,1435.27
47,26087.44,5,49473,central,29,0,0.0,0.0
40,15584.5,5,40309,west,22,0,0.0,0.0
33,6376.12,13,47778,west,15,0,0.0,0.0
59,32615.61,10,10151,west,41,0,0.0,0.0
47,12763.31,7,39103,central,29,1,487.68,487.68
